trip,day,sex,snr,dist
1,21,1,2.58,13.7076772684139
1,21,2,0.31,30.1206764856517
1,21,2,1.38,16.9061852151229
1,21,2,1.71,15.6958209032931
1,21,2,0.98,19.1286003177518
1,21,2,1.49,16.4582697781439
1,21,1,0.21,35.521265030264
1,21,2,2.64,13.608157688372
1,21,2,1.35,17.037749266678
1,21,2,0.07,57.8643817436926
1,22,2,0.04,74.9330036534968
1,22,1,0.01,144.866007306994
1,22,2,0.01,144.866007306994
1,22,2,4.51,11.5860330613798
1,22,1,2.24,14.3451907035498
1,22,2,0.09,51.6220024356645
1,22,2,0.01,144.866007306994
1,22,1,0.02,103.900202224262
1,22,1,0.34,28.9868223626812
1,22,2,0.5,24.7800404448525
1,22,1,0.02,103.900202224262
1,22,1,0.04,74.9330036534968
1,22,2,0.02,103.900202224262
1,23,2,0.04,74.9330036534968
1,23,2,0.25,32.9732014613987
1,23,1,0.2,36.274990007992
1,24,2,1.32,17.173773349942
1,24,1,0.78,20.8367067931209
1,24,2,0.44,26.0855939619275
1,24,2,1.16,17.9862327631731
1,24,2,0.13,43.7918508492144
1,24,2,0.02,103.900202224262
1,24,2,0.7,21.7171853406692
1,24,2,0.35,28.6416702334791
1,24,2,0.71,21.5990412076748
1,24,2,0.4,27.1147575161927
1,24,2,2.07,14.7213595200401
1,24,2,1.28,17.3625252780328
1,24,2,1.6,16.0573787580963
1,24,2,12.52,8.95284707521047
1,24,2,1.45,16.615239692036
1,24,1,3.97,12.0196736847092
2,17,2,2.65,13.5919005299748
2,17,2,21.01,8.05140006567159
2,17,1,19.28,8.18536103075704
2,17,1,1.33,17.1279209333428
2,17,2,1.23,17.6112931710889
2,17,2,1.07,18.5213572840798
2,17,2,1.43,16.6961831082067
2,17,1,0.07,57.8643817436926
2,17,2,0.66,22.2163153767441
2,17,1,0.12,45.3758384845855
2,17,2,0.25,32.9732014613987
2,17,1,0.16,39.9665018267484
2,17,1,0.27,31.9172256563903
2,17,2,0.68,21.961244751769
,17,2,1.68,15.7908967366458
,17,1,0.03,85.751676969171
,17,2,16.87,8.40529418007827
,17,2,0.02,103.900202224262
,17,2,0.02,103.900202224262
,17,2,0.1,49.2295150323853
,17,2,0.012,132.679612050371
,17,2,0.03,85.751676969171
,17,1,0.023,97.2249141100641
,17,1,0.08,54.4501011121312
,17,1,0.01,144.866007306994
,17,1,0.3,30.5359224100743
,17,2,1.75,15.5728763487385
,17,1,0.21,35.521265030264
,17,2,0.15,41.1132478000341
,17,2,2.39,14.0471799161477
,18,1,1.13,18.1574871851182
,18,2,13.98,8.74074920008927
,18,2,2.06,14.7449264867935
,18,2,2.38,14.0661666734768
,18,1,2.25,14.3244004871329
,18,2,15.55,8.54688396371943
,18,2,9.94,9.43628036771866
,18,1,0.96,19.2750145942716
,18,2,0.35,28.6416702334791
,18,2,0.14,42.3807628141993
,18,2,2.51,13.8282640995811
,18,2,0.02,103.900202224262
,18,1,3.16,12.8680776285965
,18,2,1.94,15.0417941059344
,19,2,0.06,62.1000583770863
,19,1,0.38,27.6892624732261
,19,1,0.01,144.866007306994
,19,1,0.05,67.549980015984
,19,2,0.24,33.5500291885432
,19,2,7.37,10.1520305965027
,19,2,0.79,20.7361552571929
,19,1,0.41,26.8434005214725
,19,1,0.73,21.3700779489529
,19,2,0.13,43.7918508492144
,19,2,0.23,34.1640785601203
,19,2,2.45,13.9357114308549
,19,2,2.76,13.4189443036764
,19,2,2.19,14.4512689104831
,19,1,0.02,103.900202224262
,19,1,5.28,11.086886674971
,19,2,0.33,29.347546699884
,19,1,0.51,24.5851584464499
,19,2,0.22,34.8195329516501
,19,2,0.46,25.6221177169183
,19,1,0.41,26.8434005214725
,19,2,0.96,19.2750145942716
,19,2,2.42,13.9909274749329
,19,2,15.08,8.60173293097931
,19,2,0.61,22.9080071842591
,19,1,0.89,19.8257671230367
,20,2,0.02,103.900202224262
,20,1,0.012,132.679612050371
,20,1,5.86,10.7778115062753
,20,2,12.82,8.90632312724063
,20,2,7.38,10.1485388776356
,20,2,0.6,23.056623900017
,20,1,0.08,54.4501011121312
,20,1,0.5,24.7800404448525
,20,2,0.67,22.0873523970303
,20,2,0.07,57.8643817436926
,20,2,0.85,20.1705984991868
,20,2,13.85,8.75826405890567
,20,1,11.34,9.15341809046659
,20,2,0.04,74.9330036534968
,20,2,0.01,144.866007306994
,20,1,1.78,15.4834004689918
,20,2,0.02,103.900202224262
,21,2,0.12,45.3758384845855
,21,1,0.2,36.274990007992
,21,2,0.18,37.9667340747541
,21,1,0.1,49.2295150323853
,21,2,0.42,26.5817934732915
,21,1,0.36,28.3110012178323
,21,1,1.21,17.7150915733631
,21,2,1.37,16.9495594396998
,21,1,0.04,74.9330036534968
,21,2,0.27,31.9172256563903
,21,1,0.07,57.8643817436926
,21,2,0.01,144.866007306994
,21,2,0.61,22.9080071842591
,21,1,0.51,24.5851584464499
,21,2,2.42,13.9909274749329
,21,1,1.3,17.2670603337054
,21,2,0.03,85.751676969171
,21,1,0.02,103.900202224262
,21,1,0.01,144.866007306994
,21,2,0.03,85.751676969171
,21,1,0.03,85.751676969171
,21,1,0.05,67.549980015984
,22,1,0.24,33.5500291885432
,22,2,0.51,24.5851584464499
,22,2,2.3,14.2224914110064
,22,1,1.07,18.5213572840798
,22,2,0.05,67.549980015984
,22,1,1.16,17.9862327631731
,22,2,1.29,17.3145152897589
,22,1,0.07,57.8643817436926
,22,2,0.78,20.8367067931209
,22,1,0.66,22.2163153767441
,22,2,2.01,14.8653875061635
,22,1,0.22,34.8195329516501
,22,2,0.71,21.5990412076748
,22,2,0.43,26.3293661524462
,22,1,1.14,18.0996517966312
,22,2,0.39,27.3964855301577
,22,2,1.28,17.3625252780328
,22,2,1.26,17.4602542713998
,22,2,0.47,25.4015539666791
,22,2,4.16,11.8574951975642
,23,2,0.04,74.9330036534968
,23,2,0.04,74.9330036534968
,23,2,0.23,34.1640785601203
,23,2,0.25,32.9732014613987
,23,2,1.31,17.2201497973103
,23,1,0.31,30.1206764856517
,23,2,1.01,18.9171878916641
,23,2,0.45,25.8499933386613
,23,2,5.4,11.018874633339
,23,1,0.13,43.7918508492144
,23,1,0.12,45.3758384845855
,23,1,0.77,20.9392108198129
,23,1,0.08,54.4501011121312
,23,1,0.01,144.866007306994
,23,2,3.21,12.8065592677726
,23,2,3.52,12.4548832379125
,24,2,0.13,43.7918508492144
,24,2,0.14,42.3807628141993
,24,2,0.01,144.866007306994
,24,2,0.18,37.9667340747541
,24,2,0.12,45.3758384845855
,24,1,0.14,42.3807628141993
,24,1,0.1,49.2295150323853
,24,1,0.08,54.4501011121312
,24,2,12.19,9.005994278062
,24,1,0.93,19.5034293312165
